	1 core	4 core
1	0.000003	0.002409
2	0.000001	0.000012
3	0.000001	0.000011
4	0.000001	0.000011
5	0.000001	0.000011
6	0.000001	0.000011
7	0.000003	0.000017
8	0.000002	0.000011
9	0.000002	0.000011
10	0.000002	0.000012
11	0.000002	0.000012
12	0.000002	0.000012
13	0.000002	0.000011
14	0.000002	0.000012
15	0.000003	0.000012
16	0.000002	0.000012
17	0.000002	0.000012
18	0.000002	0.000012
19	0.000003	0.000012
20	0.000003	0.000012
21	0.000003	0.000012
22	0.000003	0.000012
23	0.000003	0.000012
24	0.000003	0.000012
25	0.000003	0.000012
26	0.000003	0.000012
27	0.000003	0.000012
28	0.000003	0.000012
29	0.000003	0.000012
30	0.000003	0.000012
31	0.000004	0.000013
32	0.000004	0.000013
33	0.000004	0.000013
34	0.000004	0.000013
35	0.000004	0.000140
36	0.000004	0.000012
37	0.000004	0.000013
38	0.000004	0.000013
39	0.000004	0.000013
40	0.000004	0.000013
41	0.000004	0.000013
42	0.000004	0.000013
43	0.000004	0.000013
44	0.000005	0.000013
45	0.000005	0.000013
46	0.000005	0.000013
47	0.000005	0.000013
48	0.000005	0.000013
49	0.000005	0.000013
50	0.000005	0.000013
51	0.000005	0.000013
52	0.000005	0.000013
53	0.000005	0.000014
54	0.000005	0.000013
55	0.000006	0.000013
56	0.000006	0.000013
57	0.000006	0.000014
58	0.000006	0.000014
59	0.000006	0.000013
60	0.000006	0.000014
61	0.000006	0.000014
62	0.000006	0.000014
63	0.000006	0.000013
64	0.000006	0.000014
65	0.000006	0.000014
66	0.000006	0.000014
67	0.000006	0.000013
68	0.000006	0.000014
69	0.000007	0.000014
70	0.000007	0.000014
71	0.000007	0.000014
72	0.000007	0.000014
73	0.000007	0.000014
74	0.000007	0.000014
75	0.000007	0.000014
76	0.000007	0.000014
77	0.000007	0.000014
78	0.000007	0.000015
79	0.000007	0.000014
80	0.000007	0.000014
81	0.000007	0.000014
82	0.000008	0.000014
83	0.000008	0.000014
84	0.000008	0.000015
85	0.000008	0.000014
86	0.000009	0.000014
87	0.000008	0.000015
88	0.000008	0.000015
89	0.000008	0.000015
90	0.000008	0.000015
91	0.000008	0.000015
92	0.000009	0.000015
93	0.000009	0.000015
94	0.000008	0.000015
95	0.000009	0.000015
96	0.000009	0.000015
97	0.000009	0.000015
98	0.000009	0.000015
99	0.000009	0.000015
100	0.000009	0.000015
101	0.000009	0.000015
102	0.000009	0.000015
103	0.000009	0.000015
104	0.000009	0.000015
105	0.000009	0.000015
106	0.000010	0.000015
107	0.000010	0.000015
108	0.000010	0.000015
109	0.000010	0.000015
110	0.000010	0.000015
111	0.000010	0.000015
112	0.000010	0.000016
113	0.000010	0.000015
114	0.000010	0.000016
115	0.000010	0.000016
116	0.000010	0.000015
117	0.000010	0.000016
118	0.000010	0.000015
119	0.000011	0.000016
120	0.000023	0.000038
121	0.000010	0.000014
122	0.000010	0.000015
123	0.000010	0.000015
124	0.000010	0.000015
125	0.000010	0.000014
126	0.000010	0.000015
127	0.000010	0.000015
128	0.000011	0.000015
129	0.000010	0.000015
130	0.000011	0.000015
131	0.000011	0.000015
132	0.000011	0.000015
133	0.000011	0.000015
134	0.000011	0.000015
135	0.000011	0.000015
136	0.000011	0.000015
137	0.000011	0.000015
138	0.000011	0.000015
139	0.000011	0.000015
140	0.000011	0.000015
141	0.000011	0.000014
142	0.000012	0.000015
143	0.000012	0.000015
144	0.000012	0.000015
145	0.000012	0.000015
146	0.000012	0.000015
147	0.000012	0.000015
148	0.000012	0.000016
149	0.000012	0.000016
150	0.000012	0.000016
151	0.000012	0.000015
152	0.000012	0.000016
153	0.000012	0.000015
154	0.000012	0.000016
155	0.000013	0.000016
156	0.000013	0.000016
157	0.000013	0.000015
158	0.000013	0.000015
159	0.000013	0.000015
160	0.000013	0.000016
161	0.000013	0.000015
162	0.000013	0.000016
163	0.000013	0.000016
164	0.000013	0.000016
165	0.000013	0.000016
166	0.000013	0.000016
167	0.000013	0.000016
168	0.000013	0.000016
169	0.000013	0.000016
170	0.000014	0.000016
171	0.000014	0.000016
172	0.000014	0.000016
173	0.000014	0.000016
174	0.000014	0.000016
175	0.000014	0.000016
176	0.000014	0.000016
177	0.000014	0.000015
178	0.000014	0.000016
179	0.000014	0.000016
180	0.000014	0.000016
181	0.000015	0.000017
182	0.000015	0.000017
183	0.000015	0.000016
184	0.000015	0.000016
